Country,Year,Reserve
United States,2022,274410.1537
Russia,2022,178757.2035
Australia,2022,165596.7244
China,2022,157847.4851
India,2022,122413.7301
Germany,2022,39572.929
Indonesia,2022,38436.44739
Ukraine,2022,37891.90625
Poland,2022,31450.18298
Kyrgyzstan,2022,31414.73269
Kazakhstan,2022,28224.64755
Turkiye,2022,12704.12275
North Korea,2022,11684.486
South Africa,2022,10905.15283
New Zealand,2022,8349.99825
Serbia,2022,8282.75734
Brazil,2022,7270.83676
Canada,2022,7255.40442
Eswatini,2022,5119.12764
Colombia,2022,5019.91974
Belgium,2022,4519.471
Tajikistan,2022,4491.91325
Czechia,2022,3962.80445
Vietnam,2022,3703.7616
Bangladesh,2022,3593.5306
Netherlands,2022,3579.20057
Pakistan,2022,3377.47784
Hungary,2022,3206.61979
Greece,2022,3170.24356
Others (each under 3000),2022,41547.16621
