Country,Year,Reserve
Venezuela,2022,303221
Saudi Arabia,2022,267192
Iran,2022,208600
Iraq,2022,145019
Africa,2022,119050
United Arab Emirates,2022,113000
Kuwait,2022,101500
Russia,2022,80000
United States,2022,55251
Libya,2022,48363
Nigeria,2022,36967
Kazakhstan,2022,30000
China,2022,27003
Qatar,2022,25244
Brazil,2022,13242
Algeria,2022,12200
Ecuador,2022,8273
Norway,2022,7573
Azerbaijan,2022,7000
Mexico,2022,5558
Oman,2022,5373
Sudans,2022,5000
Canada,2022,4731
Vietnam,2022,4400
India,2022,4370
Malaysia,2022,3600
Egypt,2022,3300
Others (each under 3000),34374,24069
